<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20150105,000100,1.1945,1.1948,1.1943,1.1943
EURUSD,20150105,000200,1.1944,1.1944,1.1939,1.1941
EURUSD,20150105,000300,1.1940,1.1941,1.1940,1.1941
EURUSD,20150105,000400,1.1940,1.1940,1.1939,1.1939
EURUSD,20150105,000500,1.1938,1.1939,1.1938,1.1938
EURUSD,20150105,000600,1.1937,1.1938,1.1937,1.1938
EURUSD,20150105,000700,1.1939,1.1940,1.1939,1.1940
EURUSD,20150105,000800,1.1939,1.1942,1.1939,1.1942
EURUSD,20150105,000900,1.1941,1.1943,1.1941,1.1942
EURUSD,20150105,001000,1.1942,1.1942,1.1942,1.1942
EURUSD,20150105,001100,1.1942,1.1942,1.1942,1.1942
EURUSD,20150105,001200,1.1942,1.1943,1.1942,1.1943
EURUSD,20150105,001300,1.1943,1.1943,1.1942,1.1943
EURUSD,20150105,001400,1.1942,1.1942,1.1939,1.1939
EURUSD,20150105,001500,1.1939,1.1939,1.1939,1.1939
EURUSD,20150105,001600,1.1938,1.1938,1.1933,1.1933
EURUSD,20150105,001700,1.1932,1.1932,1.1931,1.1931
EURUSD,20150105,001800,1.1930,1.1931,1.1930,1.1930
EURUSD,20150105,001900,1.1930,1.1931,1.1930,1.1930
EURUSD,20150105,002000,1.1931,1.1933,1.1931,1.1933
EURUSD,20150105,002100,1.1932,1.1932,1.1930,1.1930
EURUSD,20150105,002200,1.1931,1.1932,1.1931,1.1932
EURUSD,20150105,002300,1.1931,1.1932,1.1930,1.1930
EURUSD,20150105,002400,1.1929,1.1930,1.1929,1.1930
EURUSD,20150105,002500,1.1930,1.1930,1.1930,1.1930
EURUSD,20150105,002600,1.1931,1.1935,1.1931,1.1935
EURUSD,20150105,002700,1.1936,1.1937,1.1935,1.1935
EURUSD,20150105,002800,1.1936,1.1936,1.1933,1.1933
EURUSD,20150105,002900,1.1934,1.1935,1.1934,1.1934
EURUSD,20150105,003000,1.1934,1.1934,1.1931,1.1932
EURUSD,20150105,003100,1.1933,1.1934,1.1932,1.1934
EURUSD,20150105,003200,1.1934,1.1935,1.1934,1.1935
EURUSD,20150105,003300,1.1936,1.1937,1.1936,1.1937
EURUSD,20150105,003400,1.1937,1.1937,1.1936,1.1936
EURUSD,20150105,003500,1.1936,1.1937,1.1936,1.1937
EURUSD,20150105,003600,1.1938,1.1940,1.1937,1.1939
EURUSD,20150105,003700,1.1940,1.1940,1.1936,1.1936
EURUSD,20150105,003800,1.1937,1.1938,1.1937,1.1938
EURUSD,20150105,003900,1.1938,1.1939,1.1938,1.1939
EURUSD,20150105,004000,1.1940,1.1940,1.1939,1.1940
EURUSD,20150105,004100,1.1940,1.1941,1.1940,1.1940
EURUSD,20150105,004200,1.1941,1.1944,1.1941,1.1944
EURUSD,20150105,004300,1.1944,1.1944,1.1944,1.1944
EURUSD,20150105,004400,1.1944,1.1944,1.1943,1.1944
EURUSD,20150105,004500,1.1945,1.1945,1.1944,1.1944
EURUSD,20150105,004600,1.1943,1.1945,1.1943,1.1945
EURUSD,20150105,004700,1.1945,1.1945,1.1944,1.1945
EURUSD,20150105,004800,1.1945,1.1947,1.1945,1.1947
EURUSD,20150105,004900,1.1947,1.1947,1.1947,1.1947
EURUSD,20150105,005000,1.1947,1.1948,1.1947,1.1947
EURUSD,20150105,005100,1.1946,1.1946,1.1943,1.1943
EURUSD,20150105,005200,1.1943,1.1944,1.1943,1.1943
EURUSD,20150105,005300,1.1943,1.1943,1.1942,1.1943
EURUSD,20150105,005400,1.1943,1.1943,1.1943,1.1943
EURUSD,20150105,005500,1.1943,1.1945,1.1943,1.1945
EURUSD,20150105,005600,1.1944,1.1944,1.1944,1.1944
EURUSD,20150105,005700,1.1944,1.1944,1.1944,1.1944
EURUSD,20150105,005800,1.1944,1.1944,1.1944,1.1944
EURUSD,20150105,005900,1.1944,1.1944,1.1943,1.1943
EURUSD,20150105,010000,1.1944,1.1945,1.1943,1.1945
EURUSD,20150105,010100,1.1946,1.1952,1.1946,1.1952
EURUSD,20150105,010200,1.1951,1.1952,1.1951,1.1952
EURUSD,20150105,010300,1.1953,1.1961,1.1953,1.1960
EURUSD,20150105,010400,1.1961,1.1961,1.1960,1.1961
EURUSD,20150105,010500,1.1962,1.1962,1.1960,1.1960
EURUSD,20150105,010600,1.1959,1.1959,1.1954,1.1955
EURUSD,20150105,010700,1.1956,1.1957,1.1954,1.1957
EURUSD,20150105,010800,1.1958,1.1959,1.1957,1.1959
EURUSD,20150105,010900,1.1960,1.1961,1.1960,1.1960
EURUSD,20150105,011000,1.1961,1.1961,1.1961,1.1961
EURUSD,20150105,011100,1.1961,1.1961,1.1961,1.1961
EURUSD,20150105,011200,1.1961,1.1962,1.1961,1.1962
EURUSD,20150105,011300,1.1962,1.1962,1.1961,1.1962
EURUSD,20150105,011400,1.1961,1.1962,1.1961,1.1962
EURUSD,20150105,011500,1.1961,1.1962,1.1961,1.1962
EURUSD,20150105,011600,1.1961,1.1962,1.1959,1.1960
EURUSD,20150105,011800,1.1962,1.1962,1.1962,1.1962
EURUSD,20150105,011900,1.1963,1.1965,1.1963,1.1963
EURUSD,20150105,012000,1.1963,1.1965,1.1963,1.1964
EURUSD,20150105,012100,1.1965,1.1965,1.1963,1.1964
EURUSD,20150105,012200,1.1965,1.1965,1.1963,1.1963
EURUSD,20150105,012300,1.1962,1.1962,1.1956,1.1957
EURUSD,20150105,012400,1.1957,1.1958,1.1957,1.1958
EURUSD,20150105,012500,1.1957,1.1958,1.1957,1.1958
EURUSD,20150105,012600,1.1958,1.1959,1.1958,1.1959
EURUSD,20150105,012700,1.1958,1.1960,1.1958,1.1959
EURUSD,20150105,012800,1.1960,1.1962,1.1960,1.1962
EURUSD,20150105,012900,1.1961,1.1964,1.1961,1.1964
EURUSD,20150105,013000,1.1963,1.1964,1.1963,1.1964
EURUSD,20150105,013100,1.1964,1.1964,1.1964,1.1964
EURUSD,20150105,013200,1.1965,1.1965,1.1963,1.1965
EURUSD,20150105,013300,1.1964,1.1966,1.1964,1.1966
EURUSD,20150105,013400,1.1965,1.1969,1.1965,1.1968
EURUSD,20150105,013500,1.1967,1.1967,1.1966,1.1967
EURUSD,20150105,013600,1.1966,1.1966,1.1964,1.1964
EURUSD,20150105,013700,1.1965,1.1967,1.1965,1.1967
EURUSD,20150105,013800,1.1967,1.1967,1.1965,1.1965
EURUSD,20150105,013900,1.1964,1.1964,1.1963,1.1963
EURUSD,20150105,014000,1.1963,1.1965,1.1963,1.1965
EURUSD,20150105,014100,1.1966,1.1966,1.1965,1.1966
EURUSD,20150105,014200,1.1966,1.1966,1.1965,1.1965
EURUSD,20150105,014300,1.1965,1.1966,1.1965,1.1966
EURUSD,20150105,014400,1.1967,1.1969,1.1967,1.1969
EURUSD,20150105,014500,1.1970,1.1970,1.1968,1.1968
EURUSD,20150105,014600,1.1967,1.1970,1.1967,1.1970
EURUSD,20150105,014700,1.1969,1.1971,1.1969,1.1970
EURUSD,20150105,014800,1.1970,1.1971,1.1970,1.1971
EURUSD,20150105,014900,1.1972,1.1972,1.1969,1.1969
EURUSD,20150105,015000,1.1970,1.1972,1.1969,1.1972
EURUSD,20150105,015100,1.1972,1.1974,1.1970,1.1974
EURUSD,20150105,015200,1.1973,1.1973,1.1969,1.1970
EURUSD,20150105,015300,1.1970,1.1970,1.1967,1.1967
EURUSD,20150105,015400,1.1967,1.1967,1.1963,1.1964
EURUSD,20150105,015500,1.1963,1.1964,1.1960,1.1961
EURUSD,20150105,015600,1.1962,1.1963,1.1958,1.1959
EURUSD,20150105,015700,1.1960,1.1960,1.1959,1.1959
EURUSD,20150105,015800,1.1958,1.1958,1.1956,1.1958
EURUSD,20150105,015900,1.1957,1.1957,1.1954,1.1954
EURUSD,20150105,020000,1.1954,1.1961,1.1954,1.1961
EURUSD,20150105,020100,1.1961,1.1961,1.1955,1.1955
EURUSD,20150105,020200,1.1956,1.1957,1.1954,1.1957
EURUSD,20150105,020300,1.1957,1.1960,1.1957,1.1959
EURUSD,20150105,020400,1.1959,1.1962,1.1959,1.1961
EURUSD,20150105,020500,1.1961,1.1961,1.1961,1.1961
EURUSD,20150105,020600,1.1960,1.1960,1.1957,1.1957
EURUSD,20150105,020700,1.1957,1.1959,1.1957,1.1959
EURUSD,20150105,020800,1.1960,1.1960,1.1959,1.1959
EURUSD,20150105,020900,1.1959,1.1960,1.1959,1.1959
EURUSD,20150105,021000,1.1960,1.1960,1.1960,1.1960
EURUSD,20150105,021100,1.1960,1.1961,1.1959,1.1961
EURUSD,20150105,021200,1.1961,1.1965,1.1961,1.1965
EURUSD,20150105,021300,1.1964,1.1965,1.1964,1.1965
EURUSD,20150105,021400,1.1966,1.1966,1.1964,1.1964
EURUSD,20150105,021500,1.1965,1.1967,1.1965,1.1967
EURUSD,20150105,021600,1.1967,1.1967,1.1966,1.1966
EURUSD,20150105,021700,1.1965,1.1966,1.1965,1.1965
EURUSD,20150105,021800,1.1965,1.1965,1.1963,1.1963
EURUSD,20150105,021900,1.1963,1.1966,1.1963,1.1966
EURUSD,20150105,022000,1.1966,1.1966,1.1965,1.1965
EURUSD,20150105,022100,1.1966,1.1966,1.1965,1.1966
EURUSD,20150105,022200,1.1965,1.1965,1.1965,1.1965
EURUSD,20150105,022300,1.1965,1.1969,1.1965,1.1969
EURUSD,20150105,022400,1.1970,1.1970,1.1969,1.1970
EURUSD,20150105,022500,1.1969,1.1970,1.1969,1.1970
EURUSD,20150105,022600,1.1971,1.1971,1.1969,1.1969
EURUSD,20150105,022700,1.1969,1.1971,1.1969,1.1971
EURUSD,20150105,022800,1.1970,1.1970,1.1968,1.1969
EURUSD,20150105,022900,1.1968,1.1968,1.1966,1.1966
EURUSD,20150105,023000,1.1966,1.1966,1.1964,1.1964
EURUSD,20150105,023100,1.1965,1.1965,1.1965,1.1965
EURUSD,20150105,023200,1.1965,1.1965,1.1961,1.1962
EURUSD,20150105,023300,1.1962,1.1963,1.1962,1.1962
EURUSD,20150105,023400,1.1962,1.1963,1.1961,1.1961
EURUSD,20150105,023500,1.1961,1.1961,1.1957,1.1957
EURUSD,20150105,023600,1.1958,1.1960,1.1958,1.1959
EURUSD,20150105,023700,1.1959,1.1960,1.1955,1.1956
EURUSD,20150105,023800,1.1957,1.1959,1.1957,1.1959
EURUSD,20150105,023900,1.1959,1.1959,1.1959,1.1959
EURUSD,20150105,024000,1.1959,1.1959,1.1957,1.1957
EURUSD,20150105,024100,1.1957,1.1957,1.1957,1.1957
EURUSD,20150105,024200,1.1957,1.1957,1.1954,1.1955
EURUSD,20150105,024300,1.1954,1.1955,1.1954,1.1955
EURUSD,20150105,024400,1.1955,1.1955,1.1953,1.1953
EURUSD,20150105,024500,1.1952,1.1953,1.1952,1.1953
EURUSD,20150105,024600,1.1953,1.1953,1.1952,1.1952
EURUSD,20150105,024700,1.1952,1.1952,1.1952,1.1952
EURUSD,20150105,024800,1.1952,1.1954,1.1952,1.1952
EURUSD,20150105,024900,1.1951,1.1951,1.1950,1.1950
EURUSD,20150105,025000,1.1950,1.1952,1.1950,1.1952
EURUSD,20150105,025100,1.1951,1.1955,1.1951,1.1954
EURUSD,20150105,025200,1.1955,1.1955,1.1954,1.1954
EURUSD,20150105,025300,1.1954,1.1955,1.1954,1.1954
EURUSD,20150105,025400,1.1954,1.1955,1.1954,1.1955
EURUSD,20150105,025500,1.1955,1.1956,1.1955,1.1955
EURUSD,20150105,025600,1.1955,1.1956,1.1954,1.1954
